Date : 2025-09-13 01:24:52
Directory : /Users/wjshewitt/prospect
Total : 166 files,  48992 codes, 1380 comments, 3929 blanks, all 54301 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| src/app/dev/demographics-test                                                              |          1 |         74 |          0 |          7 |         81 |
| src/app/dev/location-preview                                                               |          1 |         80 |          8 |          7 |         95 |
| src/app/login                                                                              |          1 |        860 |         21 |         59 |        940 |
| src/app/privacy                                                                            |          1 |        369 |          3 |         25 |        397 |
| src/app/signup                                                                             |          1 |        860 |         21 |         59 |        940 |
| src/app/terms                                                                              |          1 |        268 |          3 |         19 |        290 |
| src/app/vision                                                                             |          1 |        898 |         27 |         75 |      1,000 |
| src/app/welcome                                                                            |          1 |        341 |          4 |         22 |        367 |
| src/components                                                                             |         83 |     12,143 |        274 |      1,293 |     13,710 |
| src/components/ai                                                                          |          1 |          0 |          0 |          2 |          2 |
| src/components/annotation                                                                  |          3 |        309 |          2 |         27 |        338 |
| src/components/assessment                                                                  |          1 |      1,062 |         24 |         44 |      1,130 |
| src/components/auth                                                                        |          1 |         33 |          0 |         12 |         45 |
| src/components/dev-viz                                                                     |          1 |        581 |         14 |         64 |        659 |
| src/components/layout                                                                      |          1 |        153 |          0 |          8 |        161 |
| src/components/map                                                                         |         10 |      2,301 |        113 |        296 |      2,710 |
| src/components/measurement                                                                 |          1 |         76 |          0 |          6 |         82 |
| src/components/project                                                                     |          4 |        699 |         15 |         63 |        777 |
| src/components/sidebar                                                                     |         18 |      1,877 |         18 |        193 |      2,088 |
| src/components/sidebar (Files)                                                             |          9 |      1,574 |         18 |        150 |      1,742 |
| src/components/sidebar/demographics                                                        |          9 |        303 |          0 |         43 |        346 |
| src/components/terrain                                                                     |          2 |        227 |          7 |         22 |        256 |
| src/components/tools                                                                       |          2 |        898 |         62 |         90 |      1,050 |
| src/components/tools (Files)                                                               |          1 |        528 |         14 |         32 |        574 |
| src/components/tools/zoning                                                                |          1 |        370 |         48 |         58 |        476 |
| src/components/tutorial                                                                    |          1 |        140 |          2 |         21 |        163 |
| src/components/ui                                                                          |         36 |      3,523 |         14 |        423 |      3,960 |
| src/components/welcome                                                                     |          1 |        264 |          3 |         22 |        289 |
| src/config                                                                                 |          1 |         45 |          7 |          6 |         58 |
| src/hooks                                                                                  |          4 |        220 |         11 |         50 |        281 |
| src/lib                                                                                    |          9 |      1,197 |         55 |        153 |      1,405 |
| src/services                                                                               |         17 |      3,432 |        531 |        518 |      4,481 |
| src/services (Files)                                                                       |          9 |      1,585 |        156 |        238 |      1,979 |
| src/services/demographics                                                                  |          3 |        784 |         98 |        100 |        982 |
| src/services/demographics (Files)                                                          |          1 |        265 |         61 |         39 |        365 |
| src/services/demographics/providers                                                        |          2 |        519 |         37 |         61 |        617 |
| src/services/geometry                                                                      |          3 |        597 |        171 |        115 |        883 |
| src/services/local-authority                                                               |          1 |        199 |         65 |         34 |        298 |
| src/services/zoning                                                                        |          1 |        267 |         41 |         31 |        339 |
+--------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+--------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                                   | language           | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| /Users/wjshewitt/prospect/.kilocode/mcp.json                                               | JSON               |         11 |          0 |          0 |         11 |
| /Users/wjshewitt/prospect/Dockerfile                                                       | Docker             |          7 |          6 |          4 |         17 |
| /Users/wjshewitt/prospect/README.md                                                        | Markdown           |        137 |          0 |         55 |        192 |
| /Users/wjshewitt/prospect/WARP.md                                                          | Markdown           |         61 |          0 |         25 |         86 |
| /Users/wjshewitt/prospect/apphosting.yaml                                                  | YAML               |          2 |          4 |          2 |          8 |
| /Users/wjshewitt/prospect/components.json                                                  | JSON               |         21 |          0 |          0 |         21 |
| /Users/wjshewitt/prospect/docker-compose.yml                                               | YAML               |         28 |          0 |          3 |         31 |
| /Users/wjshewitt/prospect/docs/advanced-polygon-selection-architecture.md                  | Markdown           |        485 |          0 |        116 |        601 |
| /Users/wjshewitt/prospect/docs/blueprint.md                                                | Markdown           |         17 |          0 |          4 |         21 |
| /Users/wjshewitt/prospect/docs/demographics-ui-spec.md                                     | Markdown           |        123 |          0 |         34 |        157 |
| /Users/wjshewitt/prospect/docs/flood-service.md                                            | Markdown           |         24 |          0 |         14 |         38 |
| /Users/wjshewitt/prospect/docs/implementation-prompt.md                                    | Markdown           |        156 |          0 |         51 |        207 |
| /Users/wjshewitt/prospect/docs/implementation-specifications.md                            | Markdown           |        835 |          0 |        136 |        971 |
| /Users/wjshewitt/prospect/docs/toolset-enhancement-proposal.md                             | Markdown           |        173 |          0 |         61 |        234 |
| /Users/wjshewitt/prospect/index.html                                                       | HTML               |        536 |          7 |          8 |        551 |
| /Users/wjshewitt/prospect/index.ts                                                         | TypeScript         |         10 |          0 |          4 |         14 |
| /Users/wjshewitt/prospect/next.config.ts                                                   | TypeScript         |         35 |          5 |          4 |         44 |
| /Users/wjshewitt/prospect/package-lock.json                                                | JSON               |     18,319 |          0 |          1 |     18,320 |
| /Users/wjshewitt/prospect/package.json                                                     | JSON               |         87 |          0 |          1 |         88 |
| /Users/wjshewitt/prospect/plan.md                                                          | Markdown           |        134 |          0 |         54 |        188 |
| /Users/wjshewitt/prospect/postcss.config.mjs                                               | JavaScript         |          6 |          1 |          2 |          9 |
| /Users/wjshewitt/prospect/public/script.js                                                 | JavaScript         |      1,319 |         76 |        220 |      1,615 |
| /Users/wjshewitt/prospect/requirements.txt                                                 | pip requirements   |          4 |          0 |          0 |          4 |
| /Users/wjshewitt/prospect/script.js                                                        | JavaScript         |      1,319 |         76 |        220 |      1,615 |
| /Users/wjshewitt/prospect/src/ai/dev.ts                                                    | TypeScript         |          5 |          0 |          4 |          9 |
| /Users/wjshewitt/prospect/src/ai/flows/ai-suggest-building-placement.ts                    | TypeScript         |         59 |          7 |         10 |         76 |
| /Users/wjshewitt/prospect/src/ai/flows/find-nearby-places-flow.ts                          | TypeScript         |         95 |          3 |         17 |        115 |
| /Users/wjshewitt/prospect/src/ai/flows/generate-solar-layout-flow.ts                       | TypeScript         |        223 |         25 |         32 |        280 |
| /Users/wjshewitt/prospect/src/ai/flows/procedural-generate-layout-flow.ts                  | TypeScript         |        327 |         37 |         64 |        428 |
| /Users/wjshewitt/prospect/src/ai/flows/summarize-site-flow.ts                              | TypeScript         |        184 |         15 |         33 |        232 |
| /Users/wjshewitt/prospect/src/ai/genkit.ts                                                 | TypeScript         |         11 |          0 |          2 |         13 |
| /Users/wjshewitt/prospect/src/app/api/local-authorities/route.ts                           | TypeScript         |        187 |         42 |         31 |        260 |
| /Users/wjshewitt/prospect/src/app/api/mapbox-proxy/route.ts                                | TypeScript         |         54 |          9 |         10 |         73 |
| /Users/wjshewitt/prospect/src/app/api/ons/demographics/route.ts                            | TypeScript         |         98 |         15 |         14 |        127 |
| /Users/wjshewitt/prospect/src/app/api/ons/demographics/test/route.ts                       | TypeScript         |         62 |          9 |         12 |         83 |
| /Users/wjshewitt/prospect/src/app/api/uk-data/flood/route.ts                               | TypeScript         |         80 |          6 |         13 |         99 |
| /Users/wjshewitt/prospect/src/app/api/uk-geoai/flood/local-flood.py                        | Python             |          0 |          0 |          1 |          1 |
| /Users/wjshewitt/prospect/src/app/api/uk-geoai/flood/route.ts                              | TypeScript         |         62 |          2 |         12 |         76 |
| /Users/wjshewitt/prospect/src/app/dev/demographics-test/page.tsx                           | TypeScript JSX     |         74 |          0 |          7 |         81 |
| /Users/wjshewitt/prospect/src/app/dev/location-preview/page.tsx                            | TypeScript JSX     |         80 |          8 |          7 |         95 |
| /Users/wjshewitt/prospect/src/app/globals.css                                              | CSS                |      1,118 |         32 |        171 |      1,321 |
| /Users/wjshewitt/prospect/src/app/layout.tsx                                               | TypeScript JSX     |         29 |          0 |          4 |         33 |
| /Users/wjshewitt/prospect/src/app/login/page.tsx                                           | TypeScript JSX     |        860 |         21 |         59 |        940 |
| /Users/wjshewitt/prospect/src/app/page.tsx                                                 | TypeScript JSX     |        769 |         17 |         35 |        821 |
| /Users/wjshewitt/prospect/src/app/privacy/page.tsx                                         | TypeScript JSX     |        369 |          3 |         25 |        397 |
| /Users/wjshewitt/prospect/src/app/signup/page.tsx                                          | TypeScript JSX     |        860 |         21 |         59 |        940 |
| /Users/wjshewitt/prospect/src/app/terms/page.tsx                                           | TypeScript JSX     |        268 |          3 |         19 |        290 |
| /Users/wjshewitt/prospect/src/app/vision/page.tsx                                          | TypeScript JSX     |        898 |         27 |         75 |      1,000 |
| /Users/wjshewitt/prospect/src/app/welcome/page.tsx                                         | TypeScript JSX     |        341 |          4 |         22 |        367 |
| /Users/wjshewitt/prospect/src/components/ai/building-placement-dialog.tsx                  | TypeScript JSX     |          0 |          0 |          2 |          2 |
| /Users/wjshewitt/prospect/src/components/annotation/annotation-editor.tsx                  | TypeScript JSX     |         52 |          0 |          6 |         58 |
| /Users/wjshewitt/prospect/src/components/annotation/annotation-overlay.tsx                 | TypeScript JSX     |        108 |          2 |          7 |        117 |
| /Users/wjshewitt/prospect/src/components/annotation/annotation-tool.tsx                    | TypeScript JSX     |        149 |          0 |         14 |        163 |
| /Users/wjshewitt/prospect/src/components/assessment/site-assessment-dialog.tsx             | TypeScript JSX     |      1,062 |         24 |         44 |      1,130 |
| /Users/wjshewitt/prospect/src/components/auth/firebase-auth-provider.tsx                   | TypeScript JSX     |         33 |          0 |         12 |         45 |
| /Users/wjshewitt/prospect/src/components/dev-viz/three-d-modal.tsx                         | TypeScript JSX     |        581 |         14 |         64 |        659 |
| /Users/wjshewitt/prospect/src/components/layout/header.tsx                                 | TypeScript JSX     |        153 |          0 |          8 |        161 |
| /Users/wjshewitt/prospect/src/components/map/address-search-box.tsx                        | TypeScript JSX     |         61 |          2 |         14 |         77 |
| /Users/wjshewitt/prospect/src/components/map/buffer-dialog.tsx                             | TypeScript JSX     |         73 |          1 |          9 |         83 |
| /Users/wjshewitt/prospect/src/components/map/layer-control.tsx                             | TypeScript JSX     |        173 |          3 |          7 |        183 |
| /Users/wjshewitt/prospect/src/components/map/local-authority-layer.tsx                     | TypeScript JSX     |        188 |         35 |         37 |        260 |
| /Users/wjshewitt/prospect/src/components/map/map-canvas.tsx                                | TypeScript JSX     |      1,393 |         62 |        161 |      1,616 |
| /Users/wjshewitt/prospect/src/components/map/map-provider-manager.tsx                      | TypeScript JSX     |         96 |          7 |         16 |        119 |
| /Users/wjshewitt/prospect/src/components/map/name-site-dialog.tsx                          | TypeScript JSX     |         71 |          0 |          8 |         79 |
| /Users/wjshewitt/prospect/src/components/map/shape-context-menu.tsx                        | TypeScript JSX     |         71 |          0 |         11 |         82 |
| /Users/wjshewitt/prospect/src/components/map/site-marker.tsx                               | TypeScript JSX     |         71 |          2 |         22 |         95 |
| /Users/wjshewitt/prospect/src/components/map/zone-dialog.tsx                               | TypeScript JSX     |        104 |          1 |         11 |        116 |
| /Users/wjshewitt/prospect/src/components/measurement/measurement-overlay.tsx               | TypeScript JSX     |         76 |          0 |          6 |         82 |
| /Users/wjshewitt/prospect/src/components/project/create-project-modal.tsx                  | TypeScript JSX     |        115 |          3 |         17 |        135 |
| /Users/wjshewitt/prospect/src/components/project/project-details-step.tsx                  | TypeScript JSX     |         68 |          0 |          6 |         74 |
| /Users/wjshewitt/prospect/src/components/project/project-location-step.tsx                 | TypeScript JSX     |        485 |         12 |         34 |        531 |
| /Users/wjshewitt/prospect/src/components/project/project-name-step.tsx                     | TypeScript JSX     |         31 |          0 |          6 |         37 |
| /Users/wjshewitt/prospect/src/components/sidebar/ai-placement-panel.tsx                    | TypeScript JSX     |        131 |          0 |         11 |        142 |
| /Users/wjshewitt/prospect/src/components/sidebar/ai-summary-panel.tsx                      | TypeScript JSX     |        296 |         15 |         28 |        339 |
| /Users/wjshewitt/prospect/src/components/sidebar/demographics-panel.tsx                    | TypeScript JSX     |          0 |          0 |          2 |          2 |
| /Users/wjshewitt/prospect/src/components/sidebar/demographics/age-distribution-card.tsx    | TypeScript JSX     |         46 |          0 |          5 |         51 |
| /Users/wjshewitt/prospect/src/components/sidebar/demographics/data-freshness-indicator.tsx | TypeScript JSX     |         11 |          0 |          3 |         14 |
| /Users/wjshewitt/prospect/src/components/sidebar/demographics/demographic-skeleton.tsx     | TypeScript JSX     |         29 |          0 |          2 |         31 |
| /Users/wjshewitt/prospect/src/components/sidebar/demographics/demographics-panel.tsx       | TypeScript JSX     |         80 |          0 |         12 |         92 |
| /Users/wjshewitt/prospect/src/components/sidebar/demographics/empty-state.tsx              | TypeScript JSX     |         15 |          0 |          3 |         18 |
| /Users/wjshewitt/prospect/src/components/sidebar/demographics/metric-card.tsx              | TypeScript JSX     |         66 |          0 |          8 |         74 |
| /Users/wjshewitt/prospect/src/components/sidebar/demographics/metrics-grid.tsx             | TypeScript JSX     |         28 |          0 |          4 |         32 |
| /Users/wjshewitt/prospect/src/components/sidebar/demographics/source-attribution.tsx       | TypeScript JSX     |          9 |          0 |          3 |         12 |
| /Users/wjshewitt/prospect/src/components/sidebar/demographics/types.ts                     | TypeScript         |         19 |          0 |          3 |         22 |
| /Users/wjshewitt/prospect/src/components/sidebar/development-details.tsx                   | TypeScript JSX     |         77 |          1 |         16 |         94 |
| /Users/wjshewitt/prospect/src/components/sidebar/elevation-analysis.tsx                    | TypeScript JSX     |        183 |          0 |         14 |        197 |
| /Users/wjshewitt/prospect/src/components/sidebar/procedural-planner-panel.tsx              | TypeScript JSX     |        150 |          1 |         11 |        162 |
| /Users/wjshewitt/prospect/src/components/sidebar/solar-analysis.tsx                        | TypeScript JSX     |         74 |          0 |         11 |         85 |
| /Users/wjshewitt/prospect/src/components/sidebar/statistics-sidebar.tsx                    | TypeScript JSX     |        342 |          1 |         15 |        358 |
| /Users/wjshewitt/prospect/src/components/sidebar/three-d-editor-panel.tsx                  | TypeScript JSX     |        321 |          0 |         42 |        363 |
| /Users/wjshewitt/prospect/src/components/terrain/basic-terrain-analysis.tsx                | TypeScript JSX     |        122 |          1 |          8 |        131 |
| /Users/wjshewitt/prospect/src/components/terrain/terrain-analysis-panel.tsx                | TypeScript JSX     |        105 |          6 |         14 |        125 |
| /Users/wjshewitt/prospect/src/components/tools/tool-palette.tsx                            | TypeScript JSX     |        528 |         14 |         32 |        574 |
| /Users/wjshewitt/prospect/src/components/tools/zoning/zone-tool.tsx                        | TypeScript JSX     |        370 |         48 |         58 |        476 |
| /Users/wjshewitt/prospect/src/components/tutorial/tutorial-guide.tsx                       | TypeScript JSX     |        140 |          2 |         21 |        163 |
| /Users/wjshewitt/prospect/src/components/ui/accordion.tsx                                  | TypeScript JSX     |         50 |          0 |          9 |         59 |
| /Users/wjshewitt/prospect/src/components/ui/alert-dialog.tsx                               | TypeScript JSX     |        127 |          0 |         15 |        142 |
| /Users/wjshewitt/prospect/src/components/ui/alert.tsx                                      | TypeScript JSX     |         53 |          0 |          7 |         60 |
| /Users/wjshewitt/prospect/src/components/ui/avatar.tsx                                     | TypeScript JSX     |         44 |          0 |          7 |         51 |
| /Users/wjshewitt/prospect/src/components/ui/badge.tsx                                      | TypeScript JSX     |         31 |          0 |          6 |         37 |
| /Users/wjshewitt/prospect/src/components/ui/button.tsx                                     | TypeScript JSX     |         51 |          0 |          6 |         57 |
| /Users/wjshewitt/prospect/src/components/ui/calendar.tsx                                   | TypeScript JSX     |         65 |          0 |          6 |         71 |
| /Users/wjshewitt/prospect/src/components/ui/card.tsx                                       | TypeScript JSX     |         71 |          0 |          9 |         80 |
| /Users/wjshewitt/prospect/src/components/ui/carousel.tsx                                   | TypeScript JSX     |        232 |          0 |         31 |        263 |
| /Users/wjshewitt/prospect/src/components/ui/chart.tsx                                      | TypeScript JSX     |        327 |          2 |         37 |        366 |
| /Users/wjshewitt/prospect/src/components/ui/checkbox.tsx                                   | TypeScript JSX     |         26 |          0 |          5 |         31 |
| /Users/wjshewitt/prospect/src/components/ui/collapsible.tsx                                | TypeScript JSX     |          6 |          0 |          6 |         12 |
| /Users/wjshewitt/prospect/src/components/ui/dialog.tsx                                     | TypeScript JSX     |        109 |          0 |         14 |        123 |
| /Users/wjshewitt/prospect/src/components/ui/dropdown-menu.tsx                              | TypeScript JSX     |        182 |          0 |         19 |        201 |
| /Users/wjshewitt/prospect/src/components/ui/form.tsx                                       | TypeScript JSX     |        153 |          0 |         26 |        179 |
| /Users/wjshewitt/prospect/src/components/ui/input.tsx                                      | TypeScript JSX     |         19 |          0 |          4 |         23 |
| /Users/wjshewitt/prospect/src/components/ui/label.tsx                                      | TypeScript JSX     |         21 |          0 |          6 |         27 |
| /Users/wjshewitt/prospect/src/components/ui/menubar.tsx                                    | TypeScript JSX     |        237 |          0 |         20 |        257 |
| /Users/wjshewitt/prospect/src/components/ui/popover.tsx                                    | TypeScript JSX     |         25 |          0 |          7 |         32 |
| /Users/wjshewitt/prospect/src/components/ui/progress.tsx                                   | TypeScript JSX     |         24 |          0 |          5 |         29 |
| /Users/wjshewitt/prospect/src/components/ui/radio-group.tsx                                | TypeScript JSX     |         39 |          0 |          6 |         45 |
| /Users/wjshewitt/prospect/src/components/ui/save-load-dropdown.tsx                         | TypeScript JSX     |        187 |          0 |         13 |        200 |
| /Users/wjshewitt/prospect/src/components/ui/scroll-area.tsx                                | TypeScript JSX     |         43 |          0 |          6 |         49 |
| /Users/wjshewitt/prospect/src/components/ui/select.tsx                                     | TypeScript JSX     |        146 |          0 |         15 |        161 |
| /Users/wjshewitt/prospect/src/components/ui/separator.tsx                                  | TypeScript JSX     |         27 |          0 |          5 |         32 |
| /Users/wjshewitt/prospect/src/components/ui/sheet.tsx                                      | TypeScript JSX     |        125 |          0 |         16 |        141 |
| /Users/wjshewitt/prospect/src/components/ui/sidebar.tsx                                    | TypeScript JSX     |        697 |         12 |         55 |        764 |
| /Users/wjshewitt/prospect/src/components/ui/skeleton.tsx                                   | TypeScript JSX     |         13 |          0 |          3 |         16 |
| /Users/wjshewitt/prospect/src/components/ui/slider.tsx                                     | TypeScript JSX     |         24 |          0 |          5 |         29 |
| /Users/wjshewitt/prospect/src/components/ui/switch.tsx                                     | TypeScript JSX     |         25 |          0 |          5 |         30 |
| /Users/wjshewitt/prospect/src/components/ui/table.tsx                                      | TypeScript JSX     |        107 |          0 |         11 |        118 |
| /Users/wjshewitt/prospect/src/components/ui/tabs.tsx                                       | TypeScript JSX     |         48 |          0 |          8 |         56 |
| /Users/wjshewitt/prospect/src/components/ui/textarea.tsx                                   | TypeScript JSX     |         18 |          0 |          4 |         22 |
| /Users/wjshewitt/prospect/src/components/ui/toast.tsx                                      | TypeScript JSX     |        116 |          0 |         14 |        130 |
| /Users/wjshewitt/prospect/src/components/ui/toaster.tsx                                    | TypeScript JSX     |         32 |          0 |          4 |         36 |
| /Users/wjshewitt/prospect/src/components/ui/tooltip.tsx                                    | TypeScript JSX     |         23 |          0 |          8 |         31 |
| /Users/wjshewitt/prospect/src/components/welcome/project-card.tsx                          | TypeScript JSX     |        264 |          3 |         22 |        289 |
| /Users/wjshewitt/prospect/src/config/demographics.ts                                       | TypeScript         |         45 |          7 |          6 |         58 |
| /Users/wjshewitt/prospect/src/hooks/use-auth.tsx                                           | TypeScript JSX     |         10 |          0 |          4 |         14 |
| /Users/wjshewitt/prospect/src/hooks/use-local-storage.ts                                   | TypeScript         |         35 |          8 |          9 |         52 |
| /Users/wjshewitt/prospect/src/hooks/use-mobile.tsx                                         | TypeScript JSX     |         15 |          0 |          5 |         20 |
| /Users/wjshewitt/prospect/src/hooks/use-toast.ts                                           | TypeScript         |        160 |          3 |         32 |        195 |
| /Users/wjshewitt/prospect/src/lib/firebase.ts                                              | TypeScript         |         31 |          6 |          8 |         45 |
| /Users/wjshewitt/prospect/src/lib/map-providers.ts                                         | TypeScript         |        104 |          6 |          7 |        117 |
| /Users/wjshewitt/prospect/src/lib/mapbox-config.ts                                         | TypeScript         |          9 |          1 |          5 |         15 |
| /Users/wjshewitt/prospect/src/lib/procedural-types.ts                                      | TypeScript         |         38 |          5 |          9 |         52 |
| /Users/wjshewitt/prospect/src/lib/sandbox.ts                                               | TypeScript         |         23 |          2 |          6 |         31 |
| /Users/wjshewitt/prospect/src/lib/terrain-analysis.ts                                      | TypeScript         |        126 |          1 |         28 |        155 |
| /Users/wjshewitt/prospect/src/lib/types.ts                                                 | TypeScript         |        277 |         21 |         28 |        326 |
| /Users/wjshewitt/prospect/src/lib/urban-planner.ts                                         | TypeScript         |        584 |         13 |         60 |        657 |
| /Users/wjshewitt/prospect/src/lib/utils.ts                                                 | TypeScript         |          5 |          0 |          2 |          7 |
| /Users/wjshewitt/prospect/src/services/annotation.ts                                       | TypeScript         |         72 |          0 |          7 |         79 |
| /Users/wjshewitt/prospect/src/services/buffer.ts                                           | TypeScript         |         23 |         11 |         12 |         46 |
| /Users/wjshewitt/prospect/src/services/data-integrator-service.ts                          | TypeScript         |        380 |         18 |         43 |        441 |
| /Users/wjshewitt/prospect/src/services/demographics/orchestrator.ts                        | TypeScript         |        265 |         61 |         39 |        365 |
| /Users/wjshewitt/prospect/src/services/demographics/providers/base.ts                      | TypeScript         |         21 |          6 |          5 |         32 |
| /Users/wjshewitt/prospect/src/services/demographics/providers/census.ts                    | TypeScript         |        498 |         31 |         56 |        585 |
| /Users/wjshewitt/prospect/src/services/elevation.ts                                        | TypeScript         |        190 |         28 |         43 |        261 |
| /Users/wjshewitt/prospect/src/services/geometry/google-map-adapter.ts                      | TypeScript         |        267 |         12 |         53 |        332 |
| /Users/wjshewitt/prospect/src/services/geometry/map-adapter.ts                             | TypeScript         |         70 |         97 |         24 |        191 |
| /Users/wjshewitt/prospect/src/services/geometry/polygon.ts                                 | TypeScript         |        260 |         62 |         38 |        360 |
| /Users/wjshewitt/prospect/src/services/local-authority/local-authority-service.ts          | TypeScript         |        199 |         65 |         34 |        298 |
| /Users/wjshewitt/prospect/src/services/measurement.ts                                      | TypeScript         |        123 |         56 |         26 |        205 |
| /Users/wjshewitt/prospect/src/services/pdf-report-service.ts                               | TypeScript         |        536 |         18 |         52 |        606 |
| /Users/wjshewitt/prospect/src/services/procedural-generation.ts                            | TypeScript         |         59 |         17 |         16 |         92 |
| /Users/wjshewitt/prospect/src/services/proximity-service.ts                                | TypeScript         |        151 |          7 |         21 |        179 |
| /Users/wjshewitt/prospect/src/services/turf-operations.ts                                  | TypeScript         |         51 |          1 |         18 |         70 |
| /Users/wjshewitt/prospect/src/services/zoning/rules.ts                                     | TypeScript         |        267 |         41 |         31 |        339 |
| /Users/wjshewitt/prospect/styles.css                                                       | CSS                |        863 |         21 |        149 |      1,033 |
| /Users/wjshewitt/prospect/tailwind.config.ts                                               | TypeScript         |        103 |          0 |          2 |        105 |
| /Users/wjshewitt/prospect/tsconfig.json                                                    | JSON with Comments |         27 |          0 |          1 |         28 |
| Total                                                                                      |                    |     48,992 |      1,380 |      3,929 |     54,301 |
+--------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
